,Tweet Id,Text,UTC,Created At,Favorites,Retweets,color,member
256,1527615745257263104,"▫️23:00- NHK
《 Venue101 》

出演させていただきます！
ぜひご覧ください🫶🏻

#JO1 #KIZUNA #With_Us",2022-05-20T11:42:30.000Z,Fri May 20 11:42:30 +0000 2022,11528,3543,orange,Group
257,1527615739838222338,"[🙋🏻‍♂️5/21(土) 出演情報 ]

▫️8:30- 関西テレビ
《 土曜はナニする！？ 》
大平祥生 河野純喜

▫️9:25- CBC《 花咲かタイムズ  》
木全翔也 佐藤景瑚

▫️10:30- 日本テレビ《 ゼロイチ 》
川尻蓮

▫️11:59- TBS 《 王様のブランチ 》
木全翔也 佐藤景瑚 白岩瑠姫",2022-05-20T11:42:28.000Z,Fri May 20 11:42:28 +0000 2022,14849,4281,darkblue,Kawashiri Ren
258,1527605062968791042,"[#Hi_JO1] EP.16📹ビハインド📹
(https://t.co/ffd9ht0EPT)

#JO1 #KIZUNA #With_Us https://t.co/RwFlpd1L5m",2022-05-20T11:00:03.000Z,Fri May 20 11:00:03 +0000 2022,17830,5860,orange,Group
259,1527594872932552705,"[#鶴房汐恩]
やっぱりイケメンって
犬にもモテるんだ。

#JO1 #TSURUBOSHION https://t.co/miuywCrqND",2022-05-20T10:19:33.000Z,Fri May 20 10:19:33 +0000 2022,37638,10660,gray,Tsurubo Shion
260,1527561262305099776,"JO1 OFFICIAL FANCLUB
金城碧海バースデー特設ページ公開！

JO1公式HP FCコンテンツ
『SPECIAL』よりチェックして下さい
▶️https://t.co/3SLfb2KLOq

#JO1 #KIZUNA #金城碧海 https://t.co/gZKfowls9w",2022-05-20T08:06:00.000Z,Fri May 20 08:06:00 +0000 2022,14163,4132,black,Kinjo Sukai
261,1527529991336239104,"[🙋🏻‍♂️5/20(金) 出演情報 ]

▫️23:30- 日本テレビ
《 MUSIC BLOOD 》

▫️24:15- RSKテレビ 
《 ユタンポ 》
豆原一成

出演させていただきます！

#JO1 #KIZUNA #With_Us",2022-05-20T06:01:44.000Z,Fri May 20 06:01:44 +0000 2022,13695,4165,red,Mamehara Issei
262,1527303065593864192,"[D-5]
2ND ALBUM ""KIZUNA""
⟴ 5.25 RELEASE

#JO1 #木全翔也 #KIZUNA #With_Us https://t.co/PgtSaDGShZ",2022-05-19T15:00:01.000Z,Thu May 19 15:00:01 +0000 2022,25137,7516,purple,Kimata Syoya
263,1527293283067895809,"NHK Eテレ《 ハングルッ!ナビ 》
#河野純喜 が
出演させていただきました！

ありがとうございました🌟

#JO1 #KIZUNA #With_Us https://t.co/ccNVka5wat",2022-05-19T14:21:09.000Z,Thu May 19 14:21:09 +0000 2022,19770,5251,deepskyblue,Kono Junki
264,1527220017305112577,"JO1 FCコンテンツ
『JO1交換日記』更新

お待たせしました。
お待たせしすぎたかもしれません。
純喜blogです。

…続きは
JO1公式HP FCコンテンツ
『RELAY BLOG』よりチェックして下さい
▶️https://t.co/3SLfb2KLOq

#JO1 #KIZUNA #JO1交換日記 #河野純喜 #KONOJUNKI https://t.co/jNUob53MU2",2022-05-19T09:30:01.000Z,Thu May 19 09:30:01 +0000 2022,18582,5428,deepskyblue,Kono Junki
265,1527193638920650752,"[🙋🏻‍♂️5/19(木) 出演情報 ]

▫️21:30- FM宮崎 他
《 ハラミちゃんのハラミファソRedio♪ 》
川西拓実 河野純喜

▫️23:00- NHK Eテレ
《 ハングルッ!ナビ 》
河野純喜

▫️25:59- 読売テレビ
《 音力-ONCHIKA- 》
川西拓実 鶴房汐恩

出演させていただきます！

#JO1 #KIZUNA #With_Us",2022-05-19T07:45:12.000Z,Thu May 19 07:45:12 +0000 2022,13569,3971,hotpink,Kawanishi Takumi
266,1526958956312006657,"[D-6]
2ND ALBUM ""KIZUNA""
⟴ 5.25 RELEASE

#JO1 #川西拓実 #KIZUNA #With_Us https://t.co/wpfLksATZe",2022-05-18T16:12:39.000Z,Wed May 18 16:12:39 +0000 2022,26166,7260,hotpink,Kawanishi Takumi
267,1526955885595009024,"ニッポン放送
《 JO1のオールナイトニッポンX 》
#鶴房汐恩 #白岩瑠姫 #木全翔也 が
出演させていただきました！

#JO1ANNX 今週も
ありがとうございました✨✨

#JO1 #ボンボナーズ さん https://t.co/XuKBlovkOi",2022-05-18T16:00:27.000Z,Wed May 18 16:00:27 +0000 2022,24911,7203,gray,Tsurubo Shion
268,1526850088454135809,"[🙋🏻‍♂️5/18(水) 出演情報 ]

▫️24:00- ニッポン放送
《 #JO1 のオールナイトニッポンX 》

#JO1ANNX",2022-05-18T09:00:03.000Z,Wed May 18 09:00:03 +0000 2022,13489,3990,orange,Group
269,1526838476666458112,"[#川西拓実]
arさんで千葉雄大さんと
対談させていただきました✨
ありがとうございました♫

読んでね☺︎︎︎︎

#JO1 #KAWANISHITAKUMI https://t.co/166TZPSo5E",2022-05-18T08:13:54.000Z,Wed May 18 08:13:54 +0000 2022,35033,9059,hotpink,Kawanishi Takumi
